Municipality code,Municipality,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,Population2019,TotalCases
63212,Córdoba,23,0,20,35,0,1,22,95,178,32,31,23,12,5687,472
73200,Coello,4,8,8,60,38,15,55,124,43,8,13,17,79,8286,472
25438,Medina,2,9,17,42,42,34,32,12,6,4,2,4,260,8064,466
27361,Istmina,3,10,7,138,129,86,14,12,26,25,1,4,11,30739,466
23686,San Pelayo,0,35,5,1,22,14,142,110,21,3,3,32,75,52481,463
85325,San Luis de Palenque,36,44,112,21,17,33,20,23,15,6,3,13,119,8378,462
68745,Simacota,42,37,6,42,10,24,163,82,10,5,3,7,26,10138,457
25612,Ricaurte,2,7,11,34,14,17,89,88,48,11,25,60,50,13652,456
17442,Marmato,2,0,3,85,2,1,9,18,253,56,11,5,10,9035,455
47170,Chivolo,1,3,0,2,0,1,62,96,15,2,0,5,267,22715,454
23670,San Andrés de Sotavento,45,68,12,42,19,13,30,73,9,8,1,7,125,48215,452
13654,San Jacinto,0,2,0,13,3,0,10,7,100,20,5,7,282,24232,449
50683,San Juan de Arama,2,15,5,47,8,27,88,10,22,9,8,24,182,8948,447
19455,Miranda,0,4,22,68,3,59,57,75,49,56,2,0,50,31733,445
73555,Planadas,9,1,12,14,2,3,156,16,13,30,13,14,154,25785,437
17877,Viterbo,33,9,70,44,8,4,51,83,34,29,7,0,65,12780,437
25530,Paratebueno,3,6,17,63,38,18,55,40,19,8,3,12,148,8786,430
47551,Pivijay,4,45,16,27,11,4,114,15,86,9,5,11,83,38203,430
50450,Puerto Concordia,2,5,22,58,21,40,29,44,16,9,4,26,152,8484,428
41006,Acevedo,66,47,16,35,6,31,33,35,31,87,11,4,25,25046,427
5893,Yondó,6,36,18,79,26,44,88,42,19,18,7,6,38,19624,427
44279,Fonseca,8,5,3,7,4,13,63,88,91,11,1,104,29,43728,427
70221,Coveñas,1,4,10,1,55,15,17,150,12,17,5,10,128,18892,425
8832,Tubará,48,61,16,29,5,4,42,168,12,8,10,11,8,18190,422
5679,Santa Bárbara,0,0,0,39,2,5,6,5,5,304,33,15,7,26944,421
47245,El Banco,31,5,2,14,2,17,59,16,101,67,5,7,93,67811,419
50124,Cabuyaro,10,7,0,17,16,40,64,111,26,5,9,12,102,6130,419
68167,Charalá,15,4,3,86,2,6,132,15,37,86,6,11,16,12256,419
23815,Tuchín,0,0,2,12,33,10,54,113,29,19,6,16,123,53744,417
41013,Agrado,28,6,4,3,6,80,49,26,56,87,2,24,46,8866,417
73616,Rioblanco,6,1,3,19,3,5,32,39,31,19,26,4,228,22660,416
20750,San Diego,13,14,9,31,2,112,37,48,32,15,2,7,87,19818,409
54720,Sardinata,13,15,23,19,18,8,21,79,41,35,8,72,57,26100,409
85225,Nunchía,44,24,40,33,5,24,24,26,23,15,9,71,71,8738,409
54553,Puerto Santander,37,34,8,46,7,34,56,74,14,7,6,42,43,8938,408
68385,Landázuri,6,34,6,34,6,39,12,36,112,11,2,0,109,10482,407
70742,San Luis de Sincé,9,22,13,7,2,11,35,86,21,10,3,2,184,31365,405
25599,Apulo,0,4,4,113,10,16,29,103,30,24,6,4,61,8457,404
13473,Morales,0,3,7,23,19,107,56,103,33,10,1,9,29,22846,400
17524,Palestina,37,7,5,112,5,6,66,68,49,27,6,2,8,15598,398
15507,Otanche,0,0,4,72,8,37,5,74,63,72,18,0,44,8002,397
20032,Astrea,4,10,0,31,2,41,40,44,39,8,0,3,173,20617,395
5790,Tarazá,2,17,5,24,14,82,6,5,7,14,5,95,118,27517,394
41357,Íquira,18,11,21,88,26,18,16,33,41,37,7,8,70,9291,394
5495,Nechí,0,2,0,9,3,5,2,7,1,4,7,207,145,26652,392
13074,Barranco de Loba,2,0,2,2,0,5,140,86,24,8,4,1,116,14996,390
73270,Falan,2,29,22,36,25,13,40,16,88,32,3,18,66,7494,390
76306,Ginebra,5,9,87,53,15,11,80,50,30,34,9,0,6,22908,389
68872,Villanueva,13,5,8,77,6,2,32,31,20,19,6,112,56,7927,387
41770,Suaza,17,5,5,28,10,34,20,22,40,38,19,9,139,22342,386
52786,Taminango,0,2,0,59,2,0,4,103,86,107,1,19,2,17866,385
5890,Yolombó,2,8,23,59,9,14,25,18,18,107,11,6,83,23050,383
18029,Albania,15,20,16,120,17,65,9,7,12,46,0,0,55,4491,382
20238,El Copey,8,2,7,16,15,17,89,23,29,14,10,43,108,30957,381
25743,Silvania,1,2,2,119,1,6,49,41,10,123,3,2,17,22550,376
70418,Los Palmitos,23,21,21,23,12,28,15,27,45,2,3,8,147,23420,375
